ID,Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,time_signature,Genre,Artists,Popularity
15h1RDnQqd7TuvzHDtyjOS,OnYourOwn(feat.NickYume),0.71,0.639,4.0,-8.097999999999999,0.0,0.0449,0.305,0.0,0.109,0.102,99.961,211121.0,4.0,deepchill-out,Y.V.E. 48,3
5Siqea8TrXMh1ZuCINoJfO,TouchingWaters,0.6559999999999999,0.8059999999999999,6.0,-8.738999999999999,0.0,0.0338,0.11,0.0111,0.11199999999999999,0.537,105.017,208317.0,4.0,deepchill-out,Blewbird,52
6xLPy1Y8Qss6c3XauRdBwv,SheGoesAgain,0.61,0.51,9.0,-6.405,0.0,0.086,0.0237,3.06e-05,0.106,0.294,75.013,195052.0,4.0,deepchill-out,Louise CS,27
73jtVvKLZ3EuLL4YvLnaK4,UnderAttack,0.764,0.653,1.0,-6.667000000000001,1.0,0.0673,0.16399999999999998,2.45e-06,0.157,0.434,107.967,160000.0,4.0,deepchill-out,Midnght,41
3PMsgFdVtCeTgjzE8X9TTs,betteroff-filousremix,0.782,0.564,8.0,-7.752000000000001,0.0,0.226,0.16399999999999998,0.00689,0.182,0.44799999999999995,101.058,176347.0,4.0,deepchill-out,Jeremy Zucker,61
59whj0VBom7UpZQsW5NNiM,Ann,0.8240000000000001,0.728,9.0,-9.068999999999999,1.0,0.179,0.37,0.27,0.0856,0.0796,158.059,204494.0,4.0,deepchill-out,COLIN,44
2ZLaVJQTHsC51XFzZvyk4d,Pictures-JoshuaEllisRemix,0.8690000000000001,0.5489999999999999,10.0,-6.672999999999999,0.0,0.0578,0.355,0.0,0.0677,0.552,106.963,157009.0,4.0,deepchill-out,SRTW,49
0LyJwTZThNbKH4tzoJsKNQ,BestPartofUs,0.76,0.679,10.0,-7.966,0.0,0.0354,0.142,0.0814,0.10099999999999999,0.598,113.989,241041.0,4.0,deepchill-out,AmPm,17
5CK6rJZdgBEGWmWmxGD9s0,TheseDays,0.535,0.46799999999999997,9.0,-7.957999999999999,1.0,0.0287,0.154,0.00106,0.0766,0.13,89.97,187447.0,4.0,deepchill-out,James Carter,43
6W4GTXLYX8HkmZGmVkfrSC,Ohio-filousRemix,0.599,0.6990000000000001,1.0,-7.587999999999999,0.0,0.1,0.58,0.276,0.10800000000000001,0.29600000000000004,120.927,245960.0,4.0,deepchill-out,Damien Jurado,58
